date,v,ma,std,zscore,pos
"2025-05-12, 07:00:00",1483434.03182173,1488705.060562521,3550.341628700611,-1.4846539550392643,1
"2025-05-12, 08:00:00",1483408.1566812,1488660.7139312904,3552.256684203402,-1.4786536326184159,1
"2025-05-12, 09:00:00",1483378.80791564,1488617.9279644827,3556.110348291388,-1.4732726309687991,1
"2025-05-12, 10:00:00",1480159.16588053,1488562.3813669123,3587.5878633139614,-2.342302350922792,-1
"2025-05-12, 11:00:00",1480259.98545957,1488509.7373101565,3619.802670193248,-2.27906120919734,-1
"2025-05-12, 12:00:00",1479944.31492563,1488456.4961987748,3654.9298110029295,-2.3289588893114446,-1
"2025-05-12, 13:00:00",1479937.6015247,1488404.2347011848,3690.0400283476783,-2.294455645858135,-1
"2025-05-12, 14:00:00",1479994.03474961,1488352.8372139393,3724.1295686321073,-2.2444982942415823,-1
"2025-05-12, 15:00:00",1575081.44039339,1488713.027736914,6810.9122807231615,12.680887537037176,1
"2025-05-12, 16:00:00",1574629.29940504,1489071.363832867,8849.328557565861,9.668296867452614,1
"2025-05-12, 17:00:00",1574970.8935028,1489431.159534722,10498.965043354143,8.147444401886515,1
"2025-05-12, 18:00:00",1575006.55422159,1489791.525555834,11912.765940483026,7.153252996952688,1
"2025-05-12, 19:00:00",1574899.93718933,1490151.19881311,13162.806718601198,6.438500555998927,1
"2025-05-12, 20:00:00",1574966.89709386,1490511.0818317872,14296.645021725271,5.907387022181298,1
"2025-05-12, 21:00:00",1574973.61439328,1490870.960231685,15338.622042041112,5.483064510689466,1
"2025-05-12, 22:00:00",1574980.19087502,1491231.0278034976,16306.361416008545,5.135981040460866,1
"2025-05-12, 23:00:00",1575394.71192416,1491593.2433480897,17220.9912035126,4.866239555303704,1
"2025-05-13, 00:00:00",1575719.5080763,1491956.804511516,18088.67754327404,4.63067039391886,1
"2025-05-13, 01:00:00",1575838.67958274,1492320.8986276425,18911.872870152587,4.416156005728456,1
"2025-05-13, 02:00:00",1575981.52161635,1492685.70441361,19696.561303693157,4.2289522479805495,1
"2025-05-13, 03:00:00",1576035.69115968,1493050.3866463134,20445.606008696257,4.058833202501799,1
"2025-05-13, 04:00:00",1576127.89427346,1493415.5508192251,21163.41059937797,3.9082709786231633,1
"2025-05-13, 05:00:00",1575873.62868247,1493779.3819750578,21847.388281845127,3.7576229088962245,1
"2025-05-13, 06:00:00",1575986.66504977,1494143.9325741087,22506.44822620654,3.6364126250877478,1
"2025-05-13, 07:00:00",1575907.32041844,1494508.2795147414,23139.75233056031,3.5177144396742834,1
"2025-05-13, 08:00:00",1575923.52812121,1494872.7155391332,23750.80451736293,3.4125501947870815,1
"2025-05-13, 09:00:00",1575672.03398825,1495236.165996669,24337.41160436878,3.305029692522516,1
"2025-05-13, 10:00:00",1575501.39342219,1495598.015936254,24902.630652342377,3.208631995608874,1
"2025-05-13, 11:00:00",1575516.92144838,1495960.187886262,25450.30587923738,3.1259637483186835,1
"2025-05-13, 12:00:00",1621915.04583187,1496523.4369083955,26763.800016397883,4.68511978293996,1
"2025-05-13, 13:00:00",1621916.27389364,1497087.3283869617,28004.305631105082,4.45749118549926,1
"2025-05-13, 14:00:00",1621809.76254951,1497650.7681481123,29179.229051329952,4.25504711529514,1
"2025-05-13, 15:00:00",1621634.87038236,1498210.2586509897,30295.673597158788,4.07400123768647,1
"2025-05-13, 16:00:00",1621685.8269554,1498769.929868169,31363.265956468476,3.91910387323296,1
"2025-05-13, 17:00:00",1621858.10843741,1499330.490677752,32388.78356946007,3.7830262287217042,1
